"Item","Formula","Category","Reverse Engineering Points","Aquired by"
"Adrenaline Shots","1 Glass, 2 Rubber, 17 Stardust Source, 5 Acid","Survival","","Settlement Containers"
"Advanced Boost Feed","Only through Cultural Artifacts or unlocking with Tech Points","Production","","Settlement Containers"
"Advanced Gear Workbench","55 Steel Ingots, 25 Electronic Parts, 25 Parts, 7 Plastic","Combat","","Recycling Tool Pick-up"
"Advanced Recycling Tool","10 Steel Ingot + 5 metal Scraps","Production","",""
"Advanced Seasoning","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Advanced Stove","42 Steel Ingots, 13 Parts, 9 Electronic Parts, 9 Glass, 6 Metal Scraps, 1 Power Cable ","Survival","","Recycling Tool Pick-up"
"Advanced Supplies Bench","20 Metal Scraps, 15 Rubber, 20 Parts, 5 Electronic Parts, 42 Steel Ingots","Production","","Recycling Tool Pick-up"
"AKM","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"All-Weather Stew","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Ammunition Supplies bench","1 Versatile Screwdriver Set,  16 Tungsten Ingots, 13 Rubber, 17 Plastic, 19 Parts, 100 Gold Ore","Production","",""
"Anti-Gravity Milkshake","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Armor Materials","Unlocked by default","Combat","",""
"Armor-Piercing Arrow","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Auto Turrets I","","Combat","","Recycling Tool Pick-up"
"Auto Turrets II","","Combat","","Recycling Tool Pick-up"
"Automatic Irrigation Facility","5 Electronic Parts, 5 Parts, 6 Metal Scraps, 17 Steel Ingots","Production","",""
"Backpack Expansion","11 Rawhide, 19 Rubber, 11 Tungsten Ingots, 13 Stardust Source","Survival","","Settlement Containers"
"Bacon Burger","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Bed","Unlocked by default","Build","",""
"Boiled Water","Unlocked by default","Survival","",""
"Bread with Jam","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Brewing Barrels","","Production","",""
"Campfire","Unlocked by default","Exclusive","",""
"Camping Knife","Unlocked by default","Combat","",""
"Canned Seafood In Oil","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Chair","8 Wood, 2 Parts","Build","",""
"Chaosium","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Chaosium Lantern","Only through Cultural Artifacts or unlocking with Tech Points","Exclusive","",""
"Claymore Mines","Only through Cultural Artifacts or unlocking with Tech Points","Combat","",""
"Combo Chipset","Only through Cultural Artifacts or unlocking with Tech Points","Production","",""
"Compact Water Filter","17 Coal, 1 Power Cable,41 Wood, 13 Adhesive, 21 Iron Ingot","Survival","","Recycling Tool Pick-up"
"Compost Bins","9 Sintered Bricks, 9 Metal Scraps, 25 Wood","Production","",""
"Cooling Fan","2 Power Cable, 2 Fiber, 11 Rubber, 11 Electronic Parts, 11 Batteries","Exclusive","",""
"Corn Soup","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Crude Pickaxe","5 Gravel, 5 Wood","Production","",""
"Custom Disassembly Bench","","Production","",""
"DBSG","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"DE.50","Only through Cultural Artifacts or unlocking with Tech Points","Combat","","Settlement Containers"
"Defense Trap I","17 Alloy Steel Ingot, 17 Electronic Part, 7 Part","Combat","","Recycling Tool Pick-up"
"Defense Trap II","","Combat","",""
"Defense Trap III","17 Tungsten Ingot, 21 Parts,25 Electronic Parts","Combat","","Recycling Tool Pick-up"
"Deluxe Seasoning","Only through Cultural Artifacts or unlocking with Tech Points","Survival","","Settlement Containers"
"Demolition Arrows","","Combat","",""
"Designers Workstation","","Build","","Recycling Tool Pick-up"
"Deviation Energy Generator","","Build","","Recycling Tool Pick-up"
"Deviation Storage Crate","8 Rubber, 17 Iron Ingot, 5 Part","Build","15","Recycling Tool Pick-up"
"Disassembly Bench","17 Copper Ore, 17 Gravel","Production","","Recycling Tool Pick-up"
"Display Facilities","50 Wood, 5 Plastic, 9 Iron Ingot, 17 Glass","Build","","Recycling Tool Pick-up"
"Dream Door","Unlock with Tech Points","Exclusive","",""
"Durable Healing Treatment","Only through Cultural Artifacts or unlocking with Tech Points","Survival","8","Settlement Containers"
"Electric Furnace","41 Steel Ingots, 9 Parts, 17 Copper Ingots, 5 Electronic Parts, 1 Power Cable","Production","","Recycling Tool Pick-up"
"Electric Heater","2 Power Cable, 2 Fiber, 11 Rubber, 11 Electronic Parts, 11 Batteries","Exclusive","",""
"Electric Rock Drill","Only through Cultural Artifacts or unlocking with Tech Points","Production","",""
"Electrical Kit","Research ""Reverse-Engineered Blueprint: Electrical Kit""","Build","","Settlement Containers"
"Electronics Grabber","10 Gold Ore, 4 Stardust Source, 4 Rubber, 4 Adhesive","Production","","Settlement Containers"
"Energy Drink","Only through Cultural Artifacts or unlocking with Tech Points","Survival","8","Settlement Containers"
"Fishing Rod","6 Iron Ingot, 17 Wood","Production","",""
"Flight Tech","Research ""Reverse-Engineered Blueprint: Flight Tech""","Build","","Settlement Containers"
"Fridge","11 Steel Ingot, 6 Iron Ingot,  8 Electronic Parts, 13 Glass, 8 Parts, 11 Power Cable","Survival","",""
"Fruit Soda","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Fruit Tea","Only through Cultural Artifacts or unlocking with Tech Points","Survival","",""
"Furnace","","Exclusive","",""
"Furnace","25 Gravel, 17 Copper Ore","Production","","Recycling Tool Pick-up"
"Fuse","1 Electronic Part + 5 iron Ingot + 2 Glass + 6 Metal Scraps","Build","",""
"Fusion Pod","20 Alloy Steel, 20 Parts, 20 Glass, 2 Rubber","Build","240","Recycling Tool Pick-up"
