"Help improving the list! Add your findings (Form Link)
Other Feedback/Suggestions/Discoveries? You can reach out to me on Discord: prototyze AVG%","r-Index","Technology Node","Unlock
Tech Pts.","Reverse
Tech Pts.","Minimum
Tech Level","","","TL#","Invention Tech %","","Component 1","","Legend: ","","Component 2","TL = Tech Level | r-Index = Quality of Invention, based on Quantity of Components used & their Rarity (Common-Legendary)
The lower an r-Index with same Invention Tech % is at a specific Tech Level, the better (fewer resources used for Invention) ","","","Component 3","","","","Component 4","","","","Component 5","","","","Component 6","",""
"","","Sorted Alphabetically, TL r-Index","","","","","","","","130%","","","","220%","","","","1100%","","","","340%","","","","200%","","","","200%","","",""
"100%","0.00","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","0","Default","100%","50","","Tungsten Ingot","100%","75","","Gold Ore","100%","20","","Plastic","100%","15","","Part","100%","10","","Rubber","100%","1","","Versatile Screwdriver Set"
"45%","0.57","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","4","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"60%","0.63","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","8","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","125%","25","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"45%","0.57","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","9","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"60%","0.63","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","125%","25","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"61%","0.63","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","10","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","127%","19","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"60%","0.63","Ammunition Supplies Workbench","6,000","2,000","Tech Level 4","","","12","Medium","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","125%","25","","Plastic","33%","5","","Part","40%","4","","Rubber","100%","1","","Versatile Screwdriver Set"
"100%","0.00","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","0","Default","100%","50","","Tungsten Ingot","100%","75","","Gold Ore","100%","20","","Plastic","100%","15","","Part","100%","15","","Metal Scrap","100%","1","","Steel Pliers"
"44%","0.56","Custom Disassembly Bench","6,000","2,000","Tech Level 4","","","4","Low","32%","16","","Tungsten Ingot","31%","23","","Gold Ore","35%","7","","Plastic","33%","5","","Part","33%","5","","Metal Scrap","100%","1","","Steel Pliers"
